CUI,HGNC ID
C1333910,HGNC:5004
C1333912,HGNC:4984
C1333913,HGNC:4986
C1333914,HGNC:12312
C1333916,HGNC:4989
C1333919,HGNC:5012
C1333920,HGNC:24941
C1333921,HGNC:5034
C1333922,HGNC:5109
C1333923,HGNC:5128
C1333924,HGNC:5144
C1333925,HGNC:5185
C1333926,HGNC:5211
C1333927,HGNC:5215
C1333928,HGNC:5246
C1333930,HGNC:16637
C1333931,HGNC:5275
C1333933,HGNC:5297
C1333935,HGNC:16931
C1334074,HGNC:5344
C1334075,HGNC:5345
C1334076,HGNC:5346
C1334077,HGNC:5361
C1334078,HGNC:5412
C1334079,HGNC:5419
C1334080,HGNC:5423
C1334081,HGNC:5432
C1334082,HGNC:5433
C1334083,HGNC:5439
C1334084,HGNC:5440
C1334085,HGNC:5438
C1334086,HGNC:5448
C1334087,HGNC:5461
C1334088,HGNC:5465
C1334089,HGNC:5464
C1334090,HGNC:5467
C1334091,HGNC:5466
C1334092,HGNC:5469
C1334093,HGNC:5471
C1334094,HGNC:5472
C1334095,HGNC:5473
C1334096,HGNC:5474
C1334097,HGNC:5965
C1334098,HGNC:5962
C1334099,HGNC:5967
C1334100,HGNC:5966
C1334101,HGNC:5969
C1334102,HGNC:5970
C1334103,HGNC:5973
C1334105,HGNC:5977
C1334106,HGNC:5980
C1334107,HGNC:5983
C1334109,HGNC:5986
C1334110,HGNC:5990
C1334111,HGNC:5991
C1334112,HGNC:5992
C1334114,HGNC:6008
C1334115,HGNC:6009
C1334116,HGNC:6010
C1334117,HGNC:6011
C1334118,HGNC:6015
C1334119,HGNC:6014
C1334120,HGNC:6017
C1334121,HGNC:6016
C1334122,HGNC:6018
C1334123,HGNC:6024
C1334124,HGNC:6023
C1334125,HGNC:6026
C1334126,HGNC:6027
C1334127,HGNC:6029
C1334128,HGNC:6040
C1334129,HGNC:6062
C1334130,HGNC:6065
C1334131,HGNC:6066
C1334132,HGNC:6067
C1334133,HGNC:6091
C1334134,HGNC:6112
C1334135,HGNC:6113
C1334136,HGNC:17020
C1334137,HGNC:17967
C1334138,HGNC:6117
C1334139,HGNC:6118
C1334140,HGNC:6125
C1334141,HGNC:6126
C1334142,HGNC:6128
C1334144,HGNC:6148
C1334145,HGNC:6152
C1334146,HGNC:6155
C1334147,HGNC:6158
C1334148,HGNC:6180
C1334290,HGNC:6190
C1334291,HGNC:6192
C1334292,HGNC:6193
C1334294,HGNC:6201
C1334295,HGNC:6207
C1334306,HGNC:6307
C1334307,HGNC:6341
C1334308,HGNC:6363
C1334309,HGNC:6372
C1334310,HGNC:6373
C1334311,HGNC:6378
C1334314,HGNC:6436
C1334331,HGNC:6515
C1334332,HGNC:6528
C1334333,HGNC:6529
C1334335,HGNC:6564
C1334336,HGNC:6569
C1334337,HGNC:6593
C1334338,HGNC:6594
C1334339,HGNC:6597
C1334340,HGNC:6601
C1334341,HGNC:6612
C1334342,HGNC:6613
C1334345,HGNC:6637
C1334347,HGNC:30588
C1334348,HGNC:6658
C1334349,HGNC:6664
C1334350,HGNC:6713
C1334351,HGNC:6715
C1334352,HGNC:6721
C1334353,HGNC:6727
C1334354,HGNC:6734
C1334468,HGNC:6768
C1334469,HGNC:6772
C1334470,HGNC:6773
C1334472,HGNC:6813
C1334474,HGNC:6840
C1334475,HGNC:6846
C1334476,HGNC:18157
C1334477,HGNC:6859
C1334478,HGNC:6872
C1334479,HGNC:6878
C1334480,HGNC:6879
C1334481,HGNC:6880
C1334482,HGNC:6886
C1334483,HGNC:6890
C1334485,HGNC:6906
C1334487,HGNC:6934
C1334488,HGNC:18043
C1334489,HGNC:6944
C1334490,HGNC:6945
C1334491,HGNC:6947
C1334492,HGNC:6948
C1334493,HGNC:6949
C1334494,HGNC:6950
