HPO,CUI
HP:0100604,C0023761
HP:0009125,C0023787
HP:0012032,C0023798
HP:0001012,C0023798
HP:0001012,C0023801
HP:0012034,C0023827
HP:0001264,C0023882
HP:0100523,C0023885
HP:0001394,C0023890
HP:0002613,C0023892
HP:0001392,C0023895
HP:0002896,C0023903
HP:0003307,C0024003
HP:0003419,C0024031
HP:0001518,C0024032
HP:0032408,C0024103
HP:0025044,C0024110
HP:0002088,C0024115
HP:0006510,C0024117
HP:0100526,C0024121
HP:0007417,C0024138
HP:0002725,C0024141
HP:0002840,C0024205
HP:0031842,C0024214
HP:0002593,C0024215
HP:0100764,C0024221
HP:0100763,C0024228
HP:0001004,C0024236
HP:0100827,C0024282
HP:0002665,C0024299
HP:0012539,C0024305
HP:0001888,C0024312
HP:0005523,C0024314
HP:0005508,C0024419
HP:0000158,C0024421
HP:0000154,C0024433
HP:0000608,C0024437
HP:0011505,C0024440
HP:0011508,C0024441
HP:0002047,C0024591
HP:0012126,C0024623
HP:0032062,C0024633
HP:0000689,C0024636
HP:0004818,C0024790
HP:0100495,C0024899
HP:0000265,C0024904
HP:0002245,C0025037
HP:0025421,C0025062
HP:0002885,C0025149
HP:0002251,C0025160
HP:0002861,C0025202
HP:0025534,C0025210
HP:0025272,C0025218
HP:0002249,C0025222
HP:0002858,C0025286
HP:0031179,C0025287
HP:0001287,C0025289
HP:0002435,C0025299
HP:0002475,C0025312
HP:0008209,C0025322
HP:0100805,C0025322
HP:0000132,C0025323
HP:0001249,C0025362
HP:0030451,C0025467
HP:0012119,C0025637
HP:0100608,C0025874
HP:0000171,C0025988
HP:0000347,C0025990
HP:0002983,C0025995
HP:0000568,C0026010
HP:0000160,C0026034
HP:0001256,C0026106
HP:0000616,C0026205
HP:0030774,C0026244
HP:0001653,C0026266
HP:0001634,C0026267
HP:0001718,C0026269
HP:0002342,C0026351
HP:0032163,C0026393
HP:0000153,C0026633
HP:0012290,C0026640
HP:0100649,C0026640
HP:0100022,C0026650
HP:0002654,C0026760
HP:0006775,C0026764
HP:0010547,C0026825
HP:0001276,C0026826
HP:0001252,C0026827
HP:0002063,C0026837
HP:0001257,C0026838
HP:0007269,C0026847
HP:0003198,C0026848
HP:0003560,C0026850
HP:0002300,C0026884
HP:0011499,C0026961
HP:0012486,C0026975
HP:0011974,C0026987
HP:0005547,C0027022
HP:0001658,C0027051
HP:0012819,C0027059
HP:0001336,C0027066
HP:0002913,C0027080
HP:0031460,C0027086
HP:0000545,C0027092
HP:0100614,C0027121
HP:0009071,C0027121
HP:0002486,C0027125
HP:0012170,C0027338
HP:0001597,C0027339
HP:0012710,C0027343
HP:0030050,C0027404
HP:0001742,C0027424
HP:0001742,C0027429
HP:0100582,C0027430
HP:0100630,C0027439
HP:0000695,C0027443
HP:0002018,C0027497
HP:0002017,C0027498
HP:0010885,C0027543
HP:0200084,C0027613
HP:0002664,C0027651
HP:0002898,C0027654
HP:0030060,C0027665
HP:0000123,C0027697
HP:0002667,C0027708
HP:0000121,C0027709
HP:0009741,C0027719
HP:0012579,C0027721
HP:0000100,C0027726
HP:0002180,C0027746
HP:0004375,C0027766
HP:0045005,C0027794
HP:0030725,C0027806
HP:0100008,C0027809
HP:0031002,C0027813
HP:0003006,C0027819
HP:0030430,C0027858
HP:0009588,C0027859
HP:0003764,C0027960
HP:0009920,C0027961
HP:0000995,C0027962
HP:0003764,C0027962
HP:0000662,C0028077
HP:0030166,C0028081
HP:0012720,C0028433
HP:0100637,C0028433
HP:0000017,C0028734
HP:0000639,C0028738
HP:0001513,C0028754
HP:0000722,C0028768
HP:0030764,C0028817
HP:0012246,C0028866
HP:0100612,C0028880
HP:0011068,C0028882
HP:0000876,C0028949
HP:0000798,C0028960
HP:0100520,C0028961
HP:0002542,C0028968
HP:0031259,C0029051
HP:0000602,C0029089
HP:0031690,C0029118
HP:0010865,C0029121
HP:0000648,C0029124
HP:0012426,C0029128
HP:0000587,C0029131
HP:0100653,C0029134
HP:0040184,C0029163
HP:0100796,C0029191
HP:0010890,C0029376
HP:0011986,C0029396
HP:0002758,C0029408
HP:0008843,C0029410
HP:0011846,C0029417
HP:0010886,C0029421
HP:0030431,C0029423
HP:0040188,C0029429
HP:0100246,C0029440
HP:0030433,C0029441
HP:0002749,C0029442
HP:0002754,C0029443
HP:0010885,C0029445
HP:0000938,C0029453
HP:0011002,C0029454
HP:0010739,C0029455
HP:0000939,C0029456
HP:0002669,C0029463
HP:0011001,C0029464
HP:0410017,C0029878
HP:0000388,C0029882
HP:0031353,C0029883
HP:0040262,C0029883
HP:0000362,C0029899
HP:0000138,C0029927
HP:0000137,C0029928
HP:0000263,C0030044
HP:0000262,C0030044
HP:0012531,C0030193
HP:0009763,C0030196
HP:0010530,C0030214
HP:0031366,C0030215
HP:0000980,C0030232
HP:0100847,C0030246
HP:0001962,C0030252
HP:0001737,C0030283
HP:0001732,C0030286
HP:0100844,C0030290
HP:0001738,C0030293
HP:0002894,C0030297
HP:0005206,C0030299
HP:0001733,C0030305
HP:0001876,C0030312
HP:0012490,C0030326
HP:0012121,C0030343
HP:0001085,C0030353
HP:0012740,C0030354
HP:0002668,C0030421
HP:0001036,C0030436
HP:0002590,C0030446
HP:0000246,C0030469
HP:0030072,C0030470
HP:0100588,C0030483
HP:0010550,C0030486
HP:0031047,C0030489
HP:0025234,C0030508
HP:0000828,C0030517
HP:0100733,C0030521
HP:0003401,C0030554
HP:0001818,C0030578
HP:0011850,C0030583
HP:0006671,C0030587
HP:0004763,C0030590
HP:0004751,C0030591
HP:0005141,C0030591
HP:0011447,C0030779
HP:0100850,C0030849
HP:0004398,C0030920
HP:0009789,C0031019
HP:0000700,C0031029
HP:0001698,C0031039
HP:0001701,C0031046
HP:0002563,C0031048
HP:0012784,C0031065
HP:0000704,C0031090
HP:0000704,C0031099
HP:0040165,C0031111
HP:0009830,C0031117
HP:0100007,C0031118
HP:0002586,C0031154
HP:0011726,C0031190
HP:0010445,C0031192
HP:0012075,C0031212
HP:0000967,C0031256
HP:0100638,C0031347
HP:0030073,C0031347
HP:0025439,C0031350
HP:0002666,C0031511
HP:0009829,C0031575
HP:0032379,C0031736
HP:0011856,C0031873
HP:0000201,C0031900
HP:0010769,C0031925
HP:0010799,C0031941
HP:0030693,C0031941
HP:0030694,C0031941
HP:0002893,C0032000
HP:0011747,C0032002
HP:0012503,C0032002
HP:0010625,C0032008
HP:0040277,C0032019
HP:0011857,C0032131
HP:0006775,C0032131
HP:0002691,C0032209
HP:0002202,C0032227
HP:0032000,C0032230
HP:0002102,C0032231
HP:0002090,C0032285
HP:0011951,C0032290
HP:0002107,C0032326
HP:0000147,C0032460
HP:0001901,C0032461
HP:0400007,C0032519
HP:0031003,C0032541
HP:0000103,C0032617
HP:0032072,C0032650
HP:0011891,C0032797
HP:0100602,C0032914
HP:0031456,C0032987
HP:0006699,C0033036
HP:0012876,C0033038
HP:0040113,C0033074
HP:0200028,C0033103
HP:0200023,C0033117
HP:0040278,C0033375
HP:0006767,C0033375
HP:0100787,C0033578
HP:0000024,C0033581
HP:0002243,C0033680
HP:0000093,C0033687
HP:0004392,C0033770
HP:0000989,C0033774
HP:0032004,C0033778
HP:0005864,C0033785
HP:0007024,C0033790
HP:0008242,C0033805
HP:0000852,C0033806
HP:0003765,C0033860
HP:0012228,C0033893
HP:0030015,C0033948
HP:0000709,C0033975
HP:0001059,C0033999
HP:0000823,C0034012
HP:0000826,C0034013
HP:0006517,C0034050
HP:0100598,C0034063
HP:0002204,C0034065
HP:0002097,C0034067
HP:0032071,C0034068
HP:0002206,C0034069
HP:0001648,C0034072
HP:0010444,C0034088
HP:0006518,C0034091
HP:0000979,C0034150
HP:0012330,C0034186
HP:0002021,C0034194
HP:0000999,C0034212
HP:0012085,C0034359
HP:0002445,C0034372
HP:0000700,C0034543
HP:0003978,C0034628
HP:0030830,C0034642
HP:0030880,C0034734
HP:0030880,C0034735
HP:0010780,C0034880
HP:0100590,C0034884
HP:0100743,C0034885
HP:0100896,C0034887
HP:0002035,C0034888
HP:0000143,C0034895
HP:0012410,C0034902
HP:0031826,C0034933
HP:0003487,C0034935
HP:0001920,C0035067
HP:0000083,C0035078
HP:0002093,C0035229
HP:0002203,C0035232
HP:0011947,C0035243
HP:0100606,C0035244
HP:0012452,C0035258
HP:0000479,C0035300
HP:0025326,C0035302
HP:0000546,C0035304
HP:0000541,C0035305
HP:0000479,C0035309
HP:0000488,C0035309
HP:0007973,C0035313
